ID_REF	GSM5101328	GSM5101329	GSM5101330	GSM5101331	GSM5101332	GSM5101333
TC1900008146.hg.1	8.424111	8.470755	8.543549	8.366032	8.387756	8.166983
TC1900008151.hg.1	5.830522	5.519548	5.074571	5.639526	5.295915	5.315176
TC1900008161.hg.1	6.048051	5.992316	6.118229	6.098694	5.739439	5.451231
TC1900008163.hg.1	5.448856	5.448856	5.506495	5.941905	5.355505	5.44804
TC1900008164.hg.1	11.25219	11.305253	11.36931	11.147358	11.215699	11.244201
TC1900008166.hg.1	6.505919	6.092181	6.339489	6.060383	5.806117	5.590788
TC1900008172.hg.1	5.771349	6.29177	6.087916	5.812844	6.114081	6.054728
TC1900008180.hg.1	6.34218	6.504467	6.443839	6.533939	6.982088	6.811193
TC1900008184.hg.1	6.491661	5.940032	6.211352	6.106331	6.185681	6.440044
TC1900008186.hg.1	3.741908	3.863633	4.16502	4.098413	3.3452	3.635812
TC1900008187.hg.1	5.353768	5.211163	5.639329	5.42444	5.033201	5.19599
TC1900008188.hg.1	6.805696	6.482121	6.560292	5.838866	6.427078	6.216067
TC1900008213.hg.1	4.253997	3.903972	3.961753	4.034531	3.659374	3.462861
TC1900008214.hg.1	5.322186	5.128403	5.592886	5.211545	5.375781	4.886643
TC1900008216.hg.1	4.80788	4.77733	5.111339	4.496688	4.554722	4.760236
TC1900008218.hg.1	5.194302	5.580201	5.627505	5.406108	5.13807	5.454116
TC1900008221.hg.1	4.943648	4.357086	4.208716	3.895037	4.217908	4.423293
TC1900008235.hg.1	4.73646	4.778617	4.904371	4.558918	4.377771	4.395993
TC1900008240.hg.1	7.084605	7.27896	7.250163	7.193181	7.295671	7.333252
TC1900008245.hg.1	4.674592	4.413728	4.822721	4.867965	4.967432	4.833838
TC1900008249.hg.1	5.590371	4.893424	4.96859	5.307796	4.819389	4.986563
TC1900008252.hg.1	6.065529	5.946531	5.768771	6.092297	5.615232	5.828645
TC1900008254.hg.1	5.127654	5.292944	5.592086	5.112279	5.104	5.088478
