ID_REF	GSM5101325	GSM5101326	GSM5101327
TC0100007160.hg.1	7.341461	6.158411	7.165836
TC0100007162.hg.1	7.513649	7.180577	7.598971
TC0100007175.hg.1	4.096799	4.61075	3.752591
TC0100007184.hg.1	6.700979	6.020912	6.922137
TC0100007188.hg.1	5.431608	7.813282	5.556506
TC0100007191.hg.1	4.041118	6.824072	4.749096
TC0100007194.hg.1	6.411376	6.39149	6.419737
TC0100007199.hg.1	4.303976	4.825891	4.28746
TC0100007205.hg.1	4.424932	5.184176	4.928964
TC0100007206.hg.1	4.45097	4.133986	4.654814
TC0100007207.hg.1	5.576128	6.011555	5.76967
TC0100007240.hg.1	6.042869	6.060422	5.988214
TC0100007243.hg.1	4.215741	4.178699	3.55833
TC0100007254.hg.1	5.45128	7.089385	5.666123
TC0100007255.hg.1	3.938998	5.808797	3.689433
TC0100007261.hg.1	6.093412	5.773372	5.855193
TC0100007264.hg.1	4.096285	4.69846	3.742743
TC0100007268.hg.1	9.138157	8.47052	9.181202
TC0100007283.hg.1	8.31759	7.12648	8.070702
TC0100007288.hg.1	3.902779	4.760819	3.99272
TC0100007290.hg.1	4.954347	6.830366	5.118867
TC0100007291.hg.1	4.710548	6.964422	5.009326
TC0100007292.hg.1	4.865706	5.139414	4.943345
TC0100007295.hg.1	3.975025	4.551739	4.581708
TC0100007303.hg.1	9.038383	8.627551	9.259155
TC0100007305.hg.1	3.386945	4.79809	4.379832
TC0100007315.hg.1	5.737771	6.083485	5.84154
TC0100007326.hg.1	10.924631	10.649719	10.891501
TC0100007331.hg.1	6.806165	5.897343	6.808232
TC0100007333.hg.1	7.505061	6.772253	7.563482
TC0100007334.hg.1	9.694598	9.141417	9.710858
TC0100007344.hg.1	9.223856	8.843574	9.27423
TC0100007361.hg.1	4.608517	4.717888	4.455308
TC0100007365.hg.1	4.937714	5.831533	4.535036
TC0100007370.hg.1	6.574523	4.804006	6.587307
TC0100007372.hg.1	6.100774	7.112702	6.375108
TC0100007378.hg.1	9.080362	8.0652	8.988417
TC0100007396.hg.1	3.023237	4.345421	2.98748
TC0100007398.hg.1	9.651201	8.990547	9.480265
TC0100007403.hg.1	6.749037	5.6096	7.070779
TC0100007406.hg.1	7.303588	6.805348	7.099764
TC0100007412.hg.1	4.554481	4.511353	4.022923
TC0100007434.hg.1	3.8241	4.704117	3.897597
TC0100007439.hg.1	4.872401	4.215918	4.775375
TC0100007440.hg.1	3.53304	3.848181	3.656952
TC0100007442.hg.1	6.747104	5.468384	6.907433
TC0100007444.hg.1	5.497821	5.120098	5.869616
TC0100007445.hg.1	3.687661	3.431211	3.691947
TC0100007447.hg.1	6.926702	5.02583	6.707879
TC0100007449.hg.1	8.454565	7.296876	8.548669
TC0100007451.hg.1	3.816862	6.866832	4.346697
TC0100007457.hg.1	4.013082	5.929358	4.56348
TC0100007458.hg.1	8.689641	7.89406	8.571549
TC0100007463.hg.1	9.693583	9.280919	9.471436
TC0100007469.hg.1	8.161625	7.185375	8.09712
TC0100007471.hg.1	5.260137	5.959424	4.820802
TC0100007477.hg.1	8.608917	7.734136	8.688383
TC0100007481.hg.1	6.74473	5.523796	6.960196
TC0100007484.hg.1	7.97896	6.889167	7.94738
TC0100007486.hg.1	9.997864	9.297357	9.992928
TC0100007489.hg.1	9.354484	8.606215	9.467112
TC0100007493.hg.1	7.131182	6.768385	7.007858
TC0100007505.hg.1	7.570332	7.295154	7.671894
TC0100007507.hg.1	7.559596	6.783191	7.480268
TC0100007510.hg.1	5.713748	5.251084	5.277185
TC0100007512.hg.1	5.263879	4.623102	5.331194
TC0100007514.hg.1	3.242952	3.246479	3.447212
TC0100007529.hg.1	6.68749	5.718099	6.338014
TC0100007532.hg.1	7.390498	7.603587	7.560413
TC0100007538.hg.1	7.415473	5.916617	7.436159
TC0100007540.hg.1	4.202281	4.664553	4.162618
TC0100007542.hg.1	4.836634	5.465995	4.492961
TC0100007543.hg.1	6.939617	6.422359	6.853021
TC0100007550.hg.1	8.99683	8.950144	9.100136
TC0100007552.hg.1	7.396816	6.169771	7.301516
TC0100007555.hg.1	7.088991	6.449875	6.826984
TC0100007556.hg.1	8.280324	8.039013	8.369099
TC0100007559.hg.1	7.787778	7.050063	7.822231
TC0100007562.hg.1	5.384391	3.997455	5.232297
TC0100007564.hg.1	6.093507	6.242069	6.210568
TC0100007569.hg.1	6.178317	5.62152	6.275629
TC0100007570.hg.1	7.7175	6.696443	7.648257
TC0100007573.hg.1	3.699353	4.465817	3.609171
TC0100007574.hg.1	8.480406	7.518149	8.527233
TC0100007575.hg.1	5.876012	6.410783	5.505618
TC0100007584.hg.1	8.986884	8.080071	8.94244
TC0100007634.hg.1	7.30491	6.313183	7.284806
TC0100007638.hg.1	7.460437	6.886878	7.497537
TC0100007641.hg.1	4.515458	6.481813	5.097412
TC0100007645.hg.1	6.760269	5.734307	6.841356
TC0100007646.hg.1	4.85349	5.762305	4.966014
TC0100007659.hg.1	9.453688	8.28441	9.358524
TC0100007660.hg.1	6.40027	5.319632	6.539079
TC0100007662.hg.1	9.410752	8.305062	9.43427
TC0100007666.hg.1	4.500427	4.313554	5.544575
TC0100007668.hg.1	7.929478	6.98006	7.99727
TC0100007669.hg.1	4.442437	5.29241	4.869664
TC0100007670.hg.1	4.992788	6.084334	5.263673
TC0100007671.hg.1	4.667925	4.23541	4.763938
TC0100007672.hg.1	9.242357	8.254723	9.352895
TC0100007675.hg.1	5.768002	6.727504	5.411736
TC0100007676.hg.1	3.958564	3.699254	3.86513
TC0100007678.hg.1	8.894476	8.038406	9.001943
TC0100007690.hg.1	9.474913	8.262086	9.545153
TC0100007691.hg.1	6.569234	6.758664	6.764418
TC0100007693.hg.1	7.589155	6.307372	7.821277
TC0100007694.hg.1	6.459171	7.045729	6.559744
TC0100007698.hg.1	5.165265	5.371352	4.758739
TC0100007705.hg.1	4.829135	5.259767	4.824943
TC0100007716.hg.1	7.021767	6.72212	7.229259
TC0100007725.hg.1	5.716356	5.978022	5.445965
TC0100007734.hg.1	3.056031	3.089031	3.159126
TC0100007739.hg.1	4.382867	4.691045	4.220628
TC0100007745.hg.1	4.092069	4.970324	3.243875
TC0100007746.hg.1	4.051732	4.012687	3.935285
TC0100007747.hg.1	3.243331	3.411503	3.54369
TC0100007748.hg.1	5.385356	6.652655	5.430483
TC0100007760.hg.1	6.050903	5.625509	6.07195
TC0100007765.hg.1	7.952335	7.122803	7.911694
TC0100007777.hg.1	5.680774	5.887591	5.923936
TC0100007778.hg.1	4.908298	4.911981	4.564781
TC0100007784.hg.1	4.871285	4.394188	4.785271
TC0100007786.hg.1	8.796449	7.815111	9.055387
