ID_REF	GSM4630319	GSM4630321	GSM4630328	GSM4630330
(+)E1A_r60_1	18.63410376	18.62832298	18.64016303	18.63975244
(+)E1A_r60_3	4.983791915	5.011506469	5.031139919	4.998811772
(+)E1A_r60_a104	5.372775044	5.061524862	5.210981234	5.180622101
(+)E1A_r60_a107	7.523682284	6.762361585	6.813378964	6.672858562
(+)E1A_r60_a135	10.08892881	9.026392259	9.44267859	9.344916133
(+)E1A_r60_a20	11.35243404	10.50849726	10.97900791	10.93122702
(+)E1A_r60_a22	12.61648048	11.58619837	12.10562465	11.98676743
(+)E1A_r60_a97	15.08562476	14.16676277	14.36089885	14.35794038
(+)E1A_r60_n11	17.12883544	16.20896542	16.37049557	16.32065524
(+)E1A_r60_n9	16.48390347	16.45772194	17.33431574	17.29741245
(-)3xSLv1	4.740581389	4.689928127	4.700325724	4.697771488
A_23_P100001	8.466124458	8.597863596	8.19276179	8.066376794
A_23_P100022	4.688325748	5.0219652	5.164542195	4.940132201
A_23_P100056	9.91536792	10.17486236	10.28245054	10.35866413
A_23_P100074	10.93171831	10.87859966	10.52149958	10.62951877
A_23_P100127	10.90917435	10.69167673	10.74764228	10.76888223
A_23_P100141	10.58687443	10.57860399	10.69513251	10.78615103
A_23_P100189	5.696548398	5.987027828	5.667455585	5.773169507
A_23_P100196	11.95426127	12.00919686	11.93360102	11.94224373
A_23_P100203	12.03221547	11.88765293	12.00768451	11.88136715
A_23_P100220	11.87825298	11.76363512	12.08885186	12.10203543
A_23_P100240	5.315575824	5.58468991	5.619342522	5.607061917
A_23_P10025	6.855445284	6.844881909	6.360955934	6.322007326
A_23_P100292	13.68437454	13.60062387	13.80948862	13.85875719
A_23_P100315	13.01374999	13.11260771	12.94874579	13.18360813
A_23_P100326	12.87099703	12.79227161	12.61187763	12.64145705
A_23_P100344	11.64086576	11.73578053	11.40661871	11.33680445
A_23_P100355	12.16411842	12.39036807	12.15142334	12.23482719
A_23_P100386	5.098781926	5.115161743	5.349826095	5.306401561
A_23_P100392	11.0146535	10.92811065	10.73484304	10.72116266
A_23_P100420	11.37747519	11.40210536	11.30807208	11.30359094
A_23_P100441	9.782357975	9.766245448	9.934064141	9.818620023
A_23_P100455	8.594782357	8.54566082	8.547953507	8.65167906
A_23_P100486	13.24998241	13.42246332	13.25233146	13.39399247
A_23_P100499	7.788930998	7.596432781	7.122086986	6.837513541
A_23_P100501	10.96809022	11.10463376	10.88273163	10.93934298
A_23_P100517	9.70111649	9.374556263	9.353653153	9.113774871
A_23_P100539	11.20599379	11.1761635	10.81061857	11.08171965
A_23_P100583	5.37617222	5.329097212	5.502211714	5.506185053
A_23_P100602	9.465766371	9.404970659	9.585823875	9.629523614
A_23_P10062	5.768025054	5.617329748	5.480231885	5.413272812
A_23_P100632	16.876785	16.76290035	16.48749158	16.4810531
A_23_P100642	6.473558534	6.575402065	6.352986779	6.437947855
A_23_P100654	9.702220519	9.592197915	9.895853662	9.983440927
A_23_P100660	13.63589183	13.9316062	13.70663893	13.87141912
A_23_P100676	8.981244073	9.127917216	9.199547858	9.235095004
A_23_P100704	11.16137552	11.26099993	10.71666881	10.93782689
A_23_P100711	10.9060272	10.89802968	10.91785503	10.87845825
A_23_P100730	4.998454452	4.965658779	4.917362576	4.9175
A_23_P100764	13.21721798	13.17288832	12.93106667	13.01685748
A_23_P10077	8.880065899	9.07473046	9.05073095	9.056500252
A_23_P100795	7.587092394	7.693569187	7.45499245	7.59517888
A_23_P10081	7.070066262	7.172806135	6.850812139	6.671564032
A_23_P100868	11.03155843	10.97592913	10.79207732	10.97155325
A_23_P100883	12.51906923	12.4200964	12.77376224	12.68374525
A_23_P100912	7.405596172	7.736904266	6.841188153	7.117115946
A_23_P100963	5.797426305	6.112250398	6.158847262	6.264272404
A_23_P100991	4.678304702	4.543565461	4.778687483	4.744468731
A_23_P101013	11.45428999	11.56676891	11.9526229	12.03723451
A_23_P101038	4.650344289	4.691787365	4.934515167	4.929850775
A_23_P101048	4.79177578	4.840845795	4.840845795	4.772110774
A_23_P101054	5.046087404	4.908567282	5.041633893	5.060787856
A_23_P101073	4.936210672	5.0219652	5.653182286	5.390573622
A_23_P101084	4.838467569	5.054000983	5.181917613	5.130024105
A_23_P101093	6.418035486	6.278371398	6.48160231	6.504462858
A_23_P101111	10.08874862	10.16693624	10.31872085	10.37040509
A_23_P101131	5.115464175	5.164520439	5.296941458	5.287511604
A_23_P101185	12.42168821	12.68105224	13.07969984	13.03867283
A_23_P101208	13.14566373	12.99155246	12.91102642	12.75117438
A_23_P10121	4.998134357	5.057892888	5.192895286	5.263630589
A_23_P101237	11.19211387	11.16974086	10.92418777	10.8247408
A_23_P101246	7.582284252	7.493210809	7.234421043	7.349920003
A_23_P101281	11.09696484	11.10433128	11.22905841	11.37181793
A_23_P101297	7.315822193	7.352882953	7.489775174	7.463279938
A_23_P101319	8.08086313	8.088185405	7.618143707	7.664348113
A_23_P101332	12.1946643	12.33333337	12.34900221	12.44969444
A_23_P101342	7.175132004	7.384824428	7.178435514	7.373718732
A_23_P10135	11.11952971	10.9982902	10.50101952	10.55185973
A_23_P101351	9.026385891	8.896817996	8.482730724	8.416695657
A_23_P101374	5.373768761	5.376720563	5.271836278	5.319418486
A_23_P101380	9.160287304	9.17782289	9.643847386	9.634722447
A_23_P101392	7.362575209	7.47052375	7.615576233	7.526498689
A_23_P1014	11.10605484	10.9614473	11.11470194	10.90317288
A_23_P101407	12.82139019	12.82058023	13.24593506	13.17021055
A_23_P101434	4.905937105	4.879534582	4.921926887	4.934112843
A_23_P101461	12.14123326	11.78163918	12.00813122	12.22203275
A_23_P101476	7.404860138	7.346825626	7.60187125	7.715708073
A_23_P101480	6.636795194	6.835935838	7.375684718	7.19548801
A_23_P101505	4.940291542	4.827697235	4.878494684	4.90989386
A_23_P101516	6.620086827	6.662242509	7.068232958	7.053374917
A_23_P101521	5.017629973	4.938953463	5.013638134	5.0016899
A_23_P101532	17.81822661	17.78349168	17.66116043	17.6919087
A_23_P101551	11.57208402	11.68447072	11.48353833	11.50702615
A_23_P10156	9.729640735	9.642825073	9.338530487	9.498623392
A_23_P101564	5.223651582	5.116833191	5.018260196	4.995828109
A_23_P101615	8.855835565	8.559097246	8.251819662	8.221465426
A_23_P101623	5.437026393	5.295464445	5.581414739	5.571220307
A_23_P101642	8.740312362	8.537183183	8.60266521	8.521401255
A_23_P101655	12.50805131	12.67885891	12.29120874	12.61804409
A_23_P101671	4.798242128	4.874390461	4.713885862	4.895118227
A_23_P101683	4.843853405	4.897238373	4.859868308	4.851038411
A_23_P101699	9.380982487	9.713872083	9.340200834	9.503559295
A_23_P101707	9.456611995	9.632922573	9.407932994	9.565466914
A_23_P10172	6.006356335	5.723128878	5.795804123	5.834768466
