ID_REF	GSM3683666	GSM3683667	GSM3683668	GSM3683669
hsa-let-7a-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-let-7a-5p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-let-7b-3p	0.907480394	1.026716939	0.327848705	0.736887941
hsa-let-7b-5p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-let-7c-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-let-7c-5p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-let-7d-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-let-7d-5p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-let-7e-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-let-7e-5p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-let-7f-1-3p	0.959124585	1.222365178	0.349842314	0.864840722
hsa-let-7f-2-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-let-7f-5p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-let-7g-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-let-7g-5p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-let-7i-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-let-7i-5p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1-5p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-100-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-100-5p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-101-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-101-5p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-103a-2-5p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-103a-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-103b	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-105-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-105-5p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-106a-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-106b-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-106b-5p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-107	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-10a-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-10a-5p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-10b-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-10b-5p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1178-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1178-5p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1179	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1180-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1180-5p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1181	5.511056814	3.597372612	4.227771486	1.997275709
hsa-miR-1182	0.032694673	0.038263732	0.458894366	0.332948651
hsa-miR-1183	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1184	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1185-1-3p	1.105946196	1.222334888	4.619546726	1.297534231
hsa-miR-1185-2-3p	0.032694673	0.038263732	1.892658338	0.033294865
hsa-miR-1185-5p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1193	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1197	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1199-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1199-5p	0.032694673	0.038263732	0.406336734	0.033294865
hsa-miR-1200	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1202	28.57170845	29.52341288	32.60282336	27.29039555
hsa-miR-1203	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1204	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1205	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1206	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1207-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1207-5p	58.69436102	56.46637063	131.1070086	55.0299457
hsa-miR-1208	0.032694673	0.038263732	0.251108784	0.033294865
hsa-miR-122-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-122-5p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1224-3p	0.032694673	0.038263732	0.007899483	0.033294865
hsa-miR-1224-5p	1.475297797	1.252555491	2.472387541	2.002562819
