ID_REF	GSM3211361	GSM3211362	GSM3211363
hsa-miR-125a-3p	1.8707	2.9449	4.2598
hsa-miR-125a-5p	-2.868	-3.2535	-3.4279
hsa-miR-125b-1-3p	-2.868	-3.2535	-3.4279
hsa-miR-125b-2-3p	-2.868	-3.2535	-3.4279
hsa-miR-125b-5p	5.1251	4.2071	4.6815
hsa-miR-126-3p	-2.868	-3.2535	-3.4279
hsa-miR-126-5p	-2.868	-3.2535	-3.4279
hsa-miR-1260a	9.7268	7.3202	8.4483
hsa-miR-1260b	8.0933	6.3586	7.1529
hsa-miR-1261	-2.868	-3.2535	-3.4279
hsa-miR-1262	-2.868	-3.2535	-3.4279
hsa-miR-1263	-2.868	-3.2535	-3.4279
hsa-miR-1264	-2.868	-3.2535	-3.4279
hsa-miR-1265	-2.868	-3.2535	-3.4279
hsa-miR-1266-3p	-2.868	-3.2535	-3.4279
hsa-miR-1266-5p	-2.868	-3.2535	-3.4279
hsa-miR-1267	-2.868	-3.2535	-3.4279
hsa-miR-1268a	2.4846	4.1641	4.4444
hsa-miR-1268b	3.3691	5.8031	5.1126
hsa-miR-1269a	-2.868	-3.2535	-3.4279
hsa-miR-1269b	-2.868	-3.2535	-3.4279
hsa-miR-127-3p	-2.868	-3.2535	-3.4279
hsa-miR-127-5p	-2.868	-3.2535	-3.4279
hsa-miR-1270	-2.868	-3.2535	-3.4279
hsa-miR-1271-3p	-2.868	-3.2535	-3.4279
hsa-miR-1271-5p	-2.868	-3.2535	-3.4279
hsa-miR-1272	-2.868	-3.2535	-3.4279
hsa-miR-1273a	-2.868	-3.2535	-3.4279
hsa-miR-1273c	-2.868	-3.2535	-3.4279
hsa-miR-1273d	-2.868	-3.2535	-3.4279
hsa-miR-1273e	-2.868	-3.2535	-0.1059
hsa-miR-1273f	-2.868	-3.2535	-0.1059
hsa-miR-1273g-3p	6.7849	6.1962	7.6117
hsa-miR-1273g-5p	-2.868	-3.2535	-3.4279
hsa-miR-1273h-3p	-2.868	-3.2535	-3.4279
hsa-miR-1273h-5p	-2.868	-3.2535	-3.4279
hsa-miR-1275	2.4881	5.9072	5.9952
hsa-miR-1276	-2.868	-3.2535	-3.4279
hsa-miR-1277-3p	-2.868	-3.2535	-3.4279
hsa-miR-1278	-2.868	-3.2535	-3.4279
hsa-miR-1279	-2.868	-3.2535	-3.4279
hsa-miR-128-1-5p	-2.868	-3.2535	-3.4279
hsa-miR-128-2-5p	-2.868	-3.2535	-3.4279
hsa-miR-128-3p	-2.868	-3.2535	-3.4279
hsa-miR-1281	2.2111	2.6617	1.7193
hsa-miR-1282	-2.868	-3.2535	-3.4279
hsa-miR-1283	-2.868	-3.2535	-3.4279
hsa-miR-1284	-2.868	-3.2535	-3.4279
hsa-miR-1285-3p	-2.868	-3.2535	-3.4279
hsa-miR-1285-5p	-2.868	-3.2535	-3.4279
hsa-miR-1286	-2.868	-3.2535	-3.4279
hsa-miR-1287-3p	-2.868	-3.2535	-3.4279
hsa-miR-1287-5p	2.8278	2.3084	2.7653
hsa-miR-1288-3p	-2.868	-3.2535	-3.4279
hsa-miR-1288-5p	-2.868	-3.2535	-3.4279
hsa-miR-1289	-2.868	-3.2535	-3.4279
hsa-miR-129-1-3p	-2.868	-3.2535	-3.4279
hsa-miR-129-2-3p	-2.868	-3.2535	-0.1059
hsa-miR-129-5p	-2.868	-3.2535	-3.4279
hsa-miR-1290	1.7649	3.2435	3.9413
hsa-miR-1291	-2.868	-3.2535	-3.4279
hsa-miR-1292-3p	-2.868	-3.2535	-3.4279
hsa-miR-1292-5p	-2.868	-3.2535	-3.4279
hsa-miR-1293	-2.868	-3.2535	-3.4279
hsa-miR-1294	-2.868	-3.2535	-3.4279
hsa-miR-1295a	-2.868	-3.2535	-3.4279
hsa-miR-1295b-3p	-2.868	-3.2535	-3.4279
hsa-miR-1295b-5p	-2.868	-3.2535	-3.4279
hsa-miR-1296-3p	-2.868	-3.2535	-3.4279
hsa-miR-1296-5p	-2.868	-3.2535	-3.4279
hsa-miR-1297	-2.868	-3.2535	-3.4279
hsa-miR-1298-3p	-2.868	-3.2535	-3.4279
hsa-miR-1298-5p	-2.868	-3.2535	-3.4279
hsa-miR-1299	1.6723	1.9073	2.6251
hsa-miR-1301-3p	-2.868	-3.2535	-3.4279
hsa-miR-1301-5p	-2.868	-3.2535	-3.4279
hsa-miR-1302	-2.868	-3.2535	-3.4279
hsa-miR-1303	-2.868	-3.2535	-3.4279
hsa-miR-1304-3p	1.6721	1.4194	1.0747
hsa-miR-1304-5p	-2.868	-3.2535	-3.4279
hsa-miR-1305	-2.868	-3.2535	1.6748
hsa-miR-1306-3p	-2.868	-3.2535	-3.4279
hsa-miR-1306-5p	-2.868	-3.2535	-3.4279
hsa-miR-1307-3p	-2.868	-3.2535	-3.4279
hsa-miR-1307-5p	-2.868	-3.2535	-3.4279
hsa-miR-130a-3p	-2.868	-3.2535	-3.4279
hsa-miR-130a-5p	-2.868	-3.2535	-3.4279
hsa-miR-130b-3p	1.6221	0.1275	1.4598
hsa-miR-130b-5p	-2.868	-3.2535	-3.4279
hsa-miR-132-3p	-2.868	-3.2535	-3.4279
hsa-miR-132-5p	-2.868	-3.2535	-3.4279
hsa-miR-1321	-2.868	-3.2535	-3.4279
hsa-miR-1322	-2.868	-3.2535	-3.4279
hsa-miR-1323	-2.868	-3.2535	-3.4279
hsa-miR-1324	-2.868	-3.2535	-3.4279
hsa-miR-133a-3p	-2.868	-3.2535	-3.4279
hsa-miR-133a-5p	-2.868	-3.2535	-3.4279
hsa-miR-133b	-2.868	-3.2535	-3.4279
hsa-miR-134-3p	-2.868	-3.2535	-3.4279
hsa-miR-134-5p	-2.868	1.9662	3.5196
hsa-miR-1343-3p	-2.868	-3.2535	-3.4279
hsa-miR-1343-5p	-2.868	-3.2535	1.5146
hsa-miR-135a-3p	-2.868	4.2474	4.4609
hsa-miR-135a-5p	-2.868	-3.2535	-3.4279
hsa-miR-135b-3p	-2.868	-3.2535	-3.4279
hsa-miR-135b-5p	2.3139	1.6495	2.2039
hsa-miR-136-3p	-2.868	-3.2535	-3.4279
hsa-miR-136-5p	-2.868	-3.2535	-3.4279
hsa-miR-137	-2.868	-3.2535	-3.4279
