ID_REF	GSM4025386	GSM4025387	GSM4025388	GSM4025389	GSM4025390
5490348	6.6825876	6.687248	6.7853966	6.774688	6.7421284
5490349	6.811868	6.745529	6.7367454	6.822042	6.756389
5490358	12.474392	12.518301	12.514423	11.914266	12.599105
5490360	7.7190495	7.7233357	7.6118746	7.7762365	7.7582984
5490364	6.5879807	6.603703	6.772335	6.663251	6.7076254
5490367	7.7760816	7.7339935	7.788179	7.7868953	7.8011327
5490368	6.5563865	6.657492	6.7034883	6.731442	6.6757755
5490369	6.953245	7.0053315	7.076774	6.967097	7.058291
5490370	6.4027777	6.636945	6.571913	6.6653438	6.5938606
5490372	6.733438	6.8568034	6.8242717	6.7740746	6.8995814
5490373	6.6635985	6.7721887	6.8091474	6.7682924	6.7381134
5490376	12.254236	12.375747	12.181645	12.173311	12.371408
5490377	6.6035194	6.579848	6.545323	6.6254363	6.6953597
5490379	7.240211	7.431393	7.2996325	7.200955	7.2477984
5490386	6.603023	6.671755	6.6893277	6.7919865	6.7457423
5490390	6.5391865	6.605647	6.6398063	6.8389654	6.6984262
5490392	6.866241	6.844919	6.915047	6.92151	6.9336104
5490398	6.8715935	7.1099734	7.0152683	6.9154024	7.0199175
5490400	6.9309254	6.968464	6.9844346	6.995203	6.9381547
5490402	6.6987576	6.8221927	6.7247915	6.883958	6.8703136
5490403	11.5082655	11.54206	11.51873	11.221416	11.392213
5490408	12.702936	12.679103	12.7138195	12.172648	12.800629
5490411	9.920157	9.710988	9.7820835	10.274379	9.833645
5490414	6.6573253	6.5655174	6.6436305	6.777502	6.673739
5490427	6.3999968	6.482255	6.5600133	6.5056744	6.5931096
5490433	7.040043	7.156193	7.143454	7.1580577	6.980844
5490435	6.7388325	6.7078114	6.6711717	6.783565	6.775014
5490437	6.6948395	6.7773604	6.88041	6.8147764	6.7694726
5490440	6.9029016	6.8178024	6.97892	6.8956976	6.965636
5490441	6.622375	6.5894814	6.700943	6.693333	6.670468
5490445	13.800807	13.7217045	13.741043	13.7385025	13.697
5490446	6.8410006	6.6923265	6.7633147	6.693054	6.6868095
5490450	6.571122	6.693714	6.5655746	6.691989	6.792593
5490451	6.4293804	6.5042295	6.530483	6.5369377	6.497258
5490452	9.276696	9.283002	9.254011	9.128738	9.3134365
5490458	6.5884113	6.6921673	6.5856085	6.58934	6.6099343
5490463	6.8161774	6.809307	6.8952856	6.8683453	6.858888
5490468	6.8007565	6.7822094	6.8758926	6.9782834	6.7960014
5490470	7.54347	7.3075514	7.4409423	7.415288	7.424693
5490471	6.8632574	6.715648	6.6706524	6.7737308	6.783137
5490475	10.409681	10.266063	10.305862	10.34799	10.144028
5490477	6.9755306	7.018749	7.1297965	7.2552752	6.8084564
5490482	6.6992044	6.7180085	6.66172	6.8115296	6.6305785
5490484	7.476353	7.424693	7.4264903	7.356915	7.541555
5490487	6.5395136	6.3661113	6.5440245	6.5385127	6.541156
5490494	7.017728	6.983739	6.9995465	7.0416718	7.0882363
5490497	7.3385024	7.270846	7.326692	7.234495	7.229719
5490504	6.574361	6.6039248	6.478206	6.677162	6.6301155
5490519	6.695449	6.666681	6.765228	6.862885	7.0010495
5490520	6.8630767	6.879571	6.8762193	6.8680854	6.9338093
