ID_REF	GSM3211364	GSM3211365	GSM3211366
hsa-let-7a-3p	-3.2487	-3.1524	-3.9811
hsa-let-7a-5p	7.6185	6.4608	6.1191
hsa-let-7b-3p	-3.2487	0.1695	0.964
hsa-let-7b-5p	6.6882	5.6962	5.6643
hsa-let-7c-3p	-3.2487	-3.1524	-3.9811
hsa-let-7c-5p	4.9265	3.924	3.7707
hsa-let-7d-3p	0.0732	0.1695	-3.9811
hsa-let-7d-5p	5.0186	4.0305	3.7379
hsa-let-7e-3p	-3.2487	-3.1524	-3.9811
hsa-let-7e-5p	-3.2487	-3.1524	-3.9811
hsa-let-7f-1-3p	-3.2487	0.775	0.5998
hsa-let-7f-2-3p	-3.2487	-3.1524	-3.9811
hsa-let-7f-5p	7.3269	6.1113	5.8142
hsa-let-7g-3p	-3.2487	-3.1524	-3.9811
hsa-let-7g-5p	5.0565	3.9138	3.8025
hsa-let-7i-3p	-3.2487	-3.1524	-3.9811
hsa-let-7i-5p	4.6488	3.5618	3.4376
hsa-miR-1-3p	-3.2487	-3.1524	-3.9811
hsa-miR-1-5p	-3.2487	-3.1524	-3.9811
hsa-miR-100-3p	-3.2487	-3.1524	-3.9811
hsa-miR-100-5p	5.2661	4.504	4.2329
hsa-miR-101-3p	1.7296	-3.1524	-3.9811
hsa-miR-101-5p	-3.2487	-3.1524	-3.9811
hsa-miR-103a-2-5p	-3.2487	-3.1524	-3.9811
hsa-miR-103a-3p	4.462	3.4617	3.2887
hsa-miR-103b	-3.2487	-3.1524	-3.9811
hsa-miR-105-3p	-3.2487	-3.1524	-3.9811
hsa-miR-105-5p	-3.2487	-3.1524	-3.9811
hsa-miR-106a-3p	-3.2487	-3.1524	-3.9811
hsa-miR-106b-3p	-3.2487	-3.1524	-3.9811
hsa-miR-106b-5p	5.7722	4.6126	4.6212
hsa-miR-107	4.2901	3.0216	3.1103
hsa-miR-10a-3p	-3.2487	-3.1524	-3.9811
hsa-miR-10a-5p	2.0263	0.2972	0.1424
hsa-miR-10b-3p	-3.2487	-3.1524	1.8975
hsa-miR-10b-5p	-3.2487	-3.1524	-3.9811
hsa-miR-1178-3p	-3.2487	-3.1524	-3.9811
hsa-miR-1178-5p	-3.2487	-3.1524	-3.9811
hsa-miR-1179	-3.2487	-3.1524	-3.9811
hsa-miR-1180-3p	-3.2487	-3.1524	1.6295
hsa-miR-1180-5p	-3.2487	-3.1524	-3.9811
hsa-miR-1181	1.9079	2.2526	5.4971
hsa-miR-1182	-3.2487	-3.1524	-3.9811
hsa-miR-1183	-3.2487	3.7741	3.3375
hsa-miR-1184	-3.2487	-3.1524	-3.9811
hsa-miR-1185-1-3p	1.2854	0.6323	3.1871
hsa-miR-1185-2-3p	-3.2487	-3.1524	2.0221
hsa-miR-1185-5p	-3.2487	-3.1524	-3.9811
hsa-miR-1193	-3.2487	-3.1524	-3.9811
hsa-miR-1197	-3.2487	-3.1524	-3.9811
hsa-miR-1199-3p	-3.2487	-3.1524	-3.9811
