"ID_REF"	"GSM3211361"	"GSM3211362"	"GSM3211363"	"GSM3211364"	"GSM3211365"	"GSM3211366"
"hsa-miR-1225-5p"	2.9690	5.7201	6.3919	5.1323	5.4062	7.6839
"hsa-miR-1226-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1226-5p"	-2.8680	-3.2535	1.0162	-3.2487	-3.1524	2.0162
"hsa-miR-1227-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1227-5p"	1.5741	5.5803	5.6237	4.6882	4.4429	7.2811
"hsa-miR-1228-3p"	2.2338	2.3634	2.5570	1.8875	2.2063	3.3049
"hsa-miR-1228-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	1.2074
"hsa-miR-1229-3p"	-2.8680	0.0684	1.0166	-3.2487	0.1695	1.6236
"hsa-miR-1229-5p"	2.2985	5.0987	5.5088	3.8420	4.1006	7.0950
"hsa-miR-1231"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1233-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1233-5p"	0.7634	-3.2535	1.7488	1.5716	-3.1524	2.5224
"hsa-miR-1234-3p"	2.3399	3.4995	3.1452	2.2114	2.2742	2.9892
"hsa-miR-1236-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1236-5p"	0.4539	1.9102	2.5160	3.2651	2.5943	2.6465
"hsa-miR-1237-3p"	-2.8680	0.0684	0.8140	-3.2487	-3.1524	1.3857
"hsa-miR-1237-5p"	-2.8680	0.0684	-3.4279	-3.2487	-3.1524	0.0419
"hsa-miR-1238-3p"	1.6142	1.4790	1.2307	1.1701	1.6903	1.7750
"hsa-miR-1238-5p"	-2.8680	1.1120	-0.0039	-3.2487	0.2543	1.7771
"hsa-miR-124-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-124-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1243"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1244"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1245a"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1245b-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1245b-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1246"	5.4765	7.1663	6.7796	5.4602	6.5648	6.9061
"hsa-miR-1247-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-0.0981
"hsa-miR-1247-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1248"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1249-3p"	1.9648	2.5255	2.8493	2.0110	2.3581	3.9899
"hsa-miR-1249-5p"	-2.8680	2.3070	1.8941	-3.2487	2.6280	3.3652
"hsa-miR-1250-3p"	0.4539	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1250-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1251-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1251-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1252-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1252-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1253"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1254"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	1.7826
"hsa-miR-1255a"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1255b-2-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1255b-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1256"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1257"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1258"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-125a-3p"	1.8707	2.9449	4.2598	2.4352	3.5554	5.7177
"hsa-miR-125a-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-125b-1-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-125b-2-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-125b-5p"	5.1251	4.2071	4.6815	4.9782	4.0486	3.8537
"hsa-miR-126-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-126-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1260a"	9.7268	7.3202	8.4483	9.0424	7.7123	6.3275
"hsa-miR-1260b"	8.0933	6.3586	7.1529	7.8143	6.7062	6.1510
"hsa-miR-1261"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1262"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1263"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1264"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1265"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1266-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1266-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1267"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1268a"	2.4846	4.1641	4.4444	3.7785	4.2921	5.3197
"hsa-miR-1268b"	3.3691	5.8031	5.1126	4.9590	5.0151	5.7040
"hsa-miR-1269a"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1269b"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-127-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-127-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1270"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1271-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1271-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1272"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1273a"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1273c"	-2.8680	-3.2535	-3.4279	-3.2487	1.9055	2.3847
"hsa-miR-1273d"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1273e"	-2.8680	-3.2535	-0.1059	0.0732	-3.1524	-3.9811
"hsa-miR-1273f"	-2.8680	-3.2535	-0.1059	0.0732	-3.1524	-0.6592
"hsa-miR-1273g-3p"	6.7849	6.1962	7.6117	8.7203	8.0306	9.1533
"hsa-miR-1273g-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1273h-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1273h-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1275"	2.4881	5.9072	5.9952	5.5531	6.5063	8.0823
"hsa-miR-1276"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1277-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1278"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1279"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-128-1-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-128-2-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-128-3p"	-2.8680	-3.2535	-3.4279	0.1694	-3.1524	-3.9811
"hsa-miR-1281"	2.2111	2.6617	1.7193	1.8663	1.9069	2.1378
"hsa-miR-1282"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1283"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1284"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1285-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1285-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-0.0558
